CampaignID,CampaignName,Channel,Country,StartDate,EndDate,Impressions,Clicks,CTR,Spend,Revenue,ROI,LandingPageURL,Device,Status,Notes
CMP3039,Winter Preview,Email,France,2023-09-09T08:00:00+01:00,2023-09-14T08:00:00+01:00,34229,951,2.78%,2543.85,2637.78,0.04,https://example.com/launch,desktop,PAUSED,
CMP3040,Email Reactivation,social,Spain,2023-09-10T08:00:00+09:00,2023-09-15T08:00:00+09:00,45599,1341,2.94%,1168.04,4429.86,2.79,https://example.com/vip,mobile,active,
CMP3041,Product Launch,paid search,Spain,2023-09-08,2023-09-13,31716,1558,4.91%,1194.63,2024.07,0.69,https://example.com/vip,Mobile,Completed,
CMP3042,Brand Awareness,Email,Australia,2023-09-12T08:00:00+00:00,2023-09-17T08:00:00+00:00,14602,181,1.24%,2440.78,9205.71,2.77,https://shop.example.com/promo,Desktop,Active,
CMP3043,Cart Abandon Recovery,social,France,2023-09-13,2023-09-18,33346,1687,5.06%,1224.55,2503.38,1.04,https://example.com/launch,Desktop,PAUSED,
CMP3044,Referral Boost,Paid Search,Australia,2023-09-14T08:00:00+01:00,2023-09-19T08:00:00+01:00,10191,169,1.66%,961.44,2008.8,1.09,https://example.com/vip,desktop,Paused,
CMP3045,Cart Abandon Recovery,PAID SEARCH,Spain,2023-09-13T08:00:00-08:00,2023-09-18T08:00:00-08:00,10978,634,5.78%,2043.91,7450.95,2.65,https://example.com/fall-sale,desktop,PAUSED,Possible duplicate
CMP3046,Fall Sale Blitz,email,Italy,2023-09-01T08:00:00-05:00,2023-09-06T08:00:00-05:00,26909,1931,7.18%,770.75,1936.21,1.51,https://shop.example.com/promo,Desktop,PAUSED,
CMP3047,Back to School,email,France,2023-09-02T08:00:00+00:00,2023-09-07T08:00:00+00:00,5284,82,1.55%,2704.05,8421.08,2.11,https://example.com/launch,desktop,Active,
CMP3048,Q3 Retargeting,social,Australia,2023-09-03T08:00:00-08:00,2023-09-08T08:00:00-08:00,33094,2219,6.71%,1839.23,4912.56,1.67,https://example.com/vip,desktop,Completed,
